model,condition,prompt_id,difficulty,n_reps,FV_mean,FV_ci95,VS_mean,VS_ci95,PA_mean,PA_ci95,EC_mean,EC_ci95,CSS_mean,iter_mean,total_tokens_mean,cost_usd_mean,css_per_1k_tokens
deepseek-v4-pro,hpema,fp_mul_q15,L4,2,1.0,0.0,1.0,0.0,0.9877,0.008,1.0,0.0,0.9969,3.0,51507.0,0.030014,0.0194
deepseek-v4-pro,hpema,in_range,L1,3,1.0,0.0,1.0,0.0,0.9959,0.0046,0.0,0.0,0.899,1.0,9506.0,0.003572,0.0946
deepseek-v4-pro,hpema,int_moving_avg,L2,3,0.6667,0.6533,1.0,0.0,0.9918,0.0046,0.0,0.0,0.7813,3.0,65817.0,0.036412,0.0119
deepseek-v4-pro,hpema,is_zero,L1,3,1.0,0.0,1.0,0.0,0.9986,0.0027,1.0,0.0,0.9997,3.0,22017.0,0.010929,0.0454
deepseek-v4-pro,hpema,rate_limiter,L2,3,1.0,0.0,0.4455,0.5439,0.9877,0.0046,0.75,0.49,0.8056,2.67,36733.0,0.021967,0.0219
deepseek-v4-pro,hpema,safe_divide,L1,3,1.0,0.0,1.0,0.0,0.9959,0.0046,0.9524,0.0934,0.9942,2.67,31901.0,0.016844,0.0312
deepseek-v4-pro,hpema,safe_negate,L1,3,1.0,0.0,1.0,0.0,0.9822,0.0054,0.6667,0.6533,0.9622,2.0,15129.0,0.006385,0.0636
deepseek-v4-pro,hpema,saturating_add,L2,3,1.0,0.0,0.1243,0.0145,0.9863,0.0027,1.0,0.0,0.7339,2.33,28145.0,0.015414,0.0261
deepseek-v4-pro,hpema,scalar_kalman,L4,3,1.0,0.0,0.6018,0.2038,0.9836,0.0046,0.0,0.0,0.7764,3.0,44104.0,0.025354,0.0176
deepseek-v4-pro,hpema,schedulability,L3,2,0.0,0.0,1.0,0.0,0.9898,0.004,1.0,0.0,0.6474,3.0,126986.0,0.070973,0.0051
deepseek-v4-pro,hpema,state_machine,L3,3,1.0,0.0,0.441,0.1458,0.9918,0.0093,0.4286,0.56,0.7731,2.67,33845.0,0.018866,0.0228
deepseek-v4-pro,hpema,tmr_vote,L3,3,1.0,0.0,0.4221,0.5664,0.9822,0.0027,1.0,0.0,0.8222,3.0,43948.0,0.025027,0.0187
deepseek-v4-pro,hpema,xor_checksum,L2,3,0.0,0.0,1.0,0.0,0.9932,0.0071,0.5714,0.4277,0.6054,3.0,106955.0,0.054733,0.0057
deepseek-v4-pro,solo,bitfield_extract,L3,3,0.0,0.0,0.2686,0.0742,0.9932,0.0071,1.0,0.0,0.4289,1.0,3620.0,0.003012,0.1185
deepseek-v4-pro,solo,circular_buffer,L2,3,0.3333,0.6533,0.4248,0.5637,0.9891,0.0071,1.0,0.0,0.5914,1.0,3615.0,0.003033,0.1636
deepseek-v4-pro,solo,clamp,L1,3,1.0,0.0,0.1747,0.0097,0.9904,0.0071,1.0,0.0,0.75,1.0,1127.0,0.000879,0.6653
deepseek-v4-pro,solo,crc16_ccitt,L3,3,0.0,0.0,0.5423,0.174,0.9836,0.0,1.0,0.0,0.5086,1.0,1887.0,0.001517,0.2695
deepseek-v4-pro,solo,fp_mul_q15,L4,3,0.0,0.0,0.6616,0.337,0.9891,0.0054,1.0,0.0,0.5457,1.0,2885.0,0.002324,0.1892
deepseek-v4-pro,solo,in_range,L1,3,1.0,0.0,1.0,0.0,0.9904,0.0027,0.0,0.0,0.8976,1.0,979.0,0.000805,0.9169
deepseek-v4-pro,solo,int_moving_avg,L2,3,0.0,0.0,1.0,0.0,0.9973,0.0054,0.0,0.0,0.5493,1.0,3719.0,0.003125,0.1477
deepseek-v4-pro,solo,is_zero,L1,3,1.0,0.0,1.0,0.0,0.9904,0.0027,1.0,0.0,0.9976,1.0,783.0,0.000652,1.2746
deepseek-v4-pro,solo,rate_limiter,L2,3,1.0,0.0,0.1483,0.0505,0.9809,0.0027,1.0,0.0,0.7397,1.0,2397.0,0.001963,0.3086
deepseek-v4-pro,solo,safe_divide,L1,3,0.0,0.0,0.7092,0.57,0.9959,0.008,1.0,0.0,0.5617,1.0,2478.0,0.002056,0.2267
deepseek-v4-pro,solo,safe_negate,L1,3,0.6667,0.6533,1.0,0.0,0.9973,0.0054,1.0,0.0,0.8826,1.0,1161.0,0.000957,0.76
deepseek-v4-pro,solo,saturating_add,L2,3,1.0,0.0,0.1221,0.0737,0.9918,0.0123,1.0,0.0,0.7346,1.0,2252.0,0.001852,0.3261
deepseek-v4-pro,solo,scalar_kalman,L4,3,0.6667,0.6533,0.6731,0.2001,0.9877,0.0093,0.0,0.0,0.6822,1.0,4894.0,0.004113,0.1394
deepseek-v4-pro,solo,schedulability,L3,3,0.0,0.0,1.0,0.0,0.9904,0.0054,1.0,0.0,0.6476,1.0,2131.0,0.00171,0.3039
deepseek-v4-pro,solo,state_machine,L3,3,1.0,0.0,0.7514,0.4873,0.9891,0.0027,0.1429,0.0,0.837,1.0,2508.0,0.002055,0.3337
deepseek-v4-pro,solo,tmr_vote,L3,3,0.3333,0.6533,0.1431,0.0296,0.9973,0.0027,1.0,0.0,0.5089,1.0,2806.0,0.002304,0.1814
deepseek-v4-pro,solo,xor_checksum,L2,3,0.0,0.0,1.0,0.0,0.9945,0.0027,0.5714,0.4277,0.6058,1.0,1649.0,0.001326,0.3673
gpt-5.4-mini,hpema,bitfield_extract,L3,2,1.0,0.0,1.0,0.0,0.9939,0.0121,1.0,0.0,0.9985,3.0,45920.0,0.082495,0.0217
gpt-5.4-mini,hpema,crc16_ccitt,L3,2,0.5,0.98,0.5556,0.0,0.9959,0.008,1.0,0.0,0.6907,3.0,101648.0,0.222888,0.0068
gpt-5.4-mini,hpema,fp_mul_q15,L4,2,1.0,0.0,0.3021,0.1235,0.9836,0.008,1.0,0.0,0.7865,3.0,43566.0,0.098753,0.0181
gpt-5.4-mini,hpema,int_moving_avg,L2,2,1.0,0.0,1.0,0.0,0.9918,0.008,0.0,0.0,0.8979,3.0,75800.0,0.168573,0.0118
gpt-5.4-mini,hpema,is_zero,L1,1,1.0,nan,1.0,nan,0.9877,nan,1.0,nan,0.9969,2.0,13346.0,0.021243,0.0747
gpt-5.4-mini,hpema,rate_limiter,L2,2,1.0,0.0,0.5718,0.8393,0.9836,0.008,1.0,0.0,0.8674,3.0,28575.0,0.058777,0.0304
